SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,,
1,Document,toaster,bread,sandwich,cafe,coffee,Starbucks,green straws,water,ice,pool,beach,Wilmington,blue sky,kite,field,football,practice,stand,band,water,,,,,,,2,
,milk,0.12,0.49,0.64,0.78,1,0.6,0.21,0.24,0.29,0.02,0.02,-0.05,0.06,0.02,0.05,0.04,0.11,-0.01,0.14,0.06,0.201578947,0.12,0.5075,,,,,
,cow,0.06,0.23,0.29,0.34,0.6,1,0.42,0.45,0.59,0.18,0.15,0.02,0.01,0,0.2,0.07,0.14,0.09,0.21,0.15,0.221052632,0.191428571,0.304,,,,,
,farm,0.03,0.09,0.11,0.1,0.21,0.42,1,0.21,0.53,0.14,0.06,0,-0.01,-0.02,0.08,0.09,0.11,0.05,0.09,0.03,0.122105263,0.104615385,0.16,,,,,
,pig,0.05,0.17,0.26,0.19,0.24,0.45,0.21,1,0.32,0.26,0.14,0.13,-0.03,-0.02,0.16,0.05,0.13,0.05,0.18,0.3,0.170526316,0.139166667,0.224285714,,,,,
,hay,0.02,0.15,0.19,0.2,0.29,0.59,0.53,0.32,1,0.37,0.22,0.08,0.08,-0.07,0.15,0.12,0.19,0.15,0.26,0.15,0.21,0.154545455,0.28625,,,,,
,horse,0.01,0.02,0,0.01,0.02,0.18,0.14,0.26,0.37,1,0.43,0.32,0.21,0.02,0.12,0.04,0.14,0.04,0.09,0.05,0.13,0.146,0.112222222,,,,,
,jockey,-0.02,0.01,0,0,0.02,0.15,0.06,0.14,0.22,0.43,1,0.21,0.16,0.03,0.14,0.09,0.19,0.1,0.17,0.08,0.114736842,0.13,0.101,,,,,
,helmet,-0.01,0.09,0.02,-0.02,-0.05,0.02,0,0.13,0.08,0.32,0.21,1,0.33,0.12,0.26,0.29,0.24,0.24,0.18,0.15,0.136842105,0.22625,0.071818182,,,,,
,bike,0.05,0.12,0.01,0.07,0.06,0.01,-0.01,-0.03,0.08,0.21,0.16,0.33,1,0.3,0.34,0.26,0.12,0.14,0.12,0.07,0.126842105,0.192857143,0.088333333,,,,,
,pedestrian,0.06,0.04,0.02,-0.03,0.02,0,-0.02,-0.02,-0.07,0.02,0.03,0.12,0.3,1,0.35,0.15,0.1,0.07,0.03,0.04,0.063684211,0.123333333,0.036153846,,,,,
,walking,0.08,0.15,0.12,0.05,0.05,0.2,0.08,0.16,0.15,0.12,0.14,0.26,0.34,0.35,1,0.45,0.33,0.3,0.29,0.19,0.200526316,0.312,0.160714286,,,,,
,shoes,0.09,0.26,0.14,0.09,0.04,0.07,0.09,0.05,0.12,0.04,0.09,0.29,0.26,0.15,0.45,1,0.29,0.68,0.43,0.2,0.201578947,0.4,0.148666667,,,,,
,high heels,0,0.15,0.11,0.11,0.11,0.14,0.11,0.13,0.19,0.14,0.19,0.24,0.12,0.1,0.33,0.29,1,0.24,0.28,0.22,0.168421053,0.246666667,0.15375,,,,,
,dress,0.06,0.22,0.07,0.04,-0.01,0.09,0.05,0.05,0.15,0.04,0.1,0.24,0.14,0.07,0.3,0.68,0.24,1,0.59,0.28,0.178947368,0.435,0.148823529,,,,,
,pink,0.01,0.27,0.16,0.18,0.14,0.21,0.09,0.18,0.26,0.09,0.17,0.18,0.12,0.03,0.29,0.43,0.28,0.59,1,0.63,0.226842105,0.63,0.204444444,,,,,
,purple,-0.04,0.09,0.11,0.08,0.06,0.15,0.03,0.3,0.15,0.05,0.08,0.15,0.07,0.04,0.19,0.2,0.22,0.28,0.63,1,0.149473684,,0.149473684,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.165315789,0.218086144,0.220257161,,,,,
30,Document,toaster,bread,pasta,spaghetti,marinara,red,blue,purple,color,royalty,king,queen,crown,royal,car,benz,mercedes,lewis,NFL,Panthers,,,,,,,0,
,toaster,1,0.21,0.03,0.11,N/A,0.07,0.02,-0.04,0,0.01,0,-0.01,-0.01,0.01,0.04,-0.01,-0.03,-0.09,0.03,0.01,0.019444444,0.019444444,,0.402352941,0.2675,0.152666667,,
,bread,0.21,1,0.36,0.65,N/A,0.09,0.07,0.11,0.01,0.01,0.02,0.06,-0.02,0.05,0.01,0.03,0.01,0.03,0.03,0.02,0.097222222,0.090588235,0.21,,,,,
,pasta,0.03,0.36,1,0.52,N/A,0.01,0.01,0.05,0.04,0.05,0.04,0.02,0.02,0.05,0.02,0.07,0.05,-0.04,0.09,0.04,0.079444444,0.065,0.195,,,,,
,spaghetti,0.11,0.65,0.52,1,N/A,0.03,0.08,0.1,0.04,0.05,-0.02,0.03,0,0.01,0.02,0.02,0.16,0,0.02,0,0.101111111,0.036,0.426666667,,,,,
,marinara,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,red,0.07,0.09,0.01,0.03,N/A,1,0.69,0.53,0.51,0.12,0.06,0.09,0.08,0.08,0.12,0.06,0.03,0.05,0.08,0.05,0.152777778,0.182142857,0.05,,,,,
,blue,0.02,0.07,0.01,0.08,N/A,0.69,1,0.68,0.62,0.14,0.02,0.05,0.11,0.06,0.12,0.05,0.08,0.08,0.08,0.17,0.173888889,0.173846154,0.174,,,,,
,purple,-0.04,0.11,0.05,0.1,N/A,0.53,0.68,1,0.55,0.13,0,0.04,0.13,0.05,0.04,0.05,0.06,0.05,0.01,0.12,0.147777778,0.1025,0.238333333,,,,,
,color,0,0.01,0.04,0.04,N/A,0.51,0.62,0.55,1,0.18,0,0.04,0.06,0.03,0.03,0.09,0.01,0.02,0.05,0.07,0.130555556,0.052727273,0.252857143,,,,,
,royalty,0.01,0.01,0.05,0.05,N/A,0.12,0.14,0.13,0.18,1,0.52,0.55,0.4,0.62,0,0.09,0.15,0.04,0.05,-0.06,0.169444444,0.236,0.08625,,,,,
,king,0,0.02,0.04,-0.02,N/A,0.06,0.02,0,0,0.52,1,0.77,0.48,0.84,0.01,0.02,-0.01,0.01,0.05,0,0.156111111,0.241111111,0.071111111,,,,,
,queen,-0.01,0.06,0.02,0.03,N/A,0.09,0.05,0.04,0.04,0.55,0.77,1,0.45,0.73,0.02,0.04,0.01,0.04,0.03,-0.03,0.162777778,0.16125,0.164,,,,,
,crown,-0.01,-0.02,0.02,0,N/A,0.08,0.11,0.13,0.06,0.4,0.48,0.45,1,0.6,0,0,0.05,0,0.04,-0.01,0.132222222,0.097142857,0.154545455,,,,,
,royal,0.01,0.05,0.05,0.01,N/A,0.08,0.06,0.05,0.03,0.62,0.84,0.73,0.6,1,0.01,0.03,0.03,0.05,0.03,-0.01,0.181666667,0.023333333,0.260833333,,,,,
,car,0.04,0.01,0.02,0.02,N/A,0.12,0.12,0.04,0.03,0,0.01,0.02,0,0.01,1,0.53,0.33,0.07,0,0.05,0.078888889,0.196,0.033846154,,,,,
,benz,-0.01,0.03,0.07,0.02,N/A,0.06,0.05,0.05,0.09,0.09,0.02,0.04,0,0.03,0.53,1,0.46,0.06,-0.02,0.06,0.090555556,0.14,0.076428571,,,,,
,mercedes,-0.03,0.01,0.05,0.16,N/A,0.03,0.08,0.06,0.01,0.15,-0.01,0.01,0.05,0.03,0.33,0.46,1,0.02,0,0.06,0.081666667,0.026666667,0.092666667,,,,,
,lewis,-0.09,0.03,-0.04,0,N/A,0.05,0.08,0.05,0.02,0.04,0.01,0.04,0,0.05,0.07,0.06,0.02,1,0.05,0.11,0.030555556,0.08,0.024375,,,,,
,NFL,0.03,0.03,0.09,0.02,N/A,0.08,0.08,0.01,0.05,0.05,0.05,0.03,0.04,0.03,0,-0.02,0,0.05,1,0.24,0.047777778,0.24,0.036470588,,,,,
,Panthers,0.01,0.02,0.04,0,N/A,0.05,0.17,0.12,0.07,-0.06,0,-0.03,-0.01,-0.01,0.05,0.06,0.06,0.11,0.24,1,0.049444444,,0.049444444,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.109649123,0.120208496,0.149846119,,,,,
31,Document,toaster,bread,oven,burnt,ham,food,turkey,thanksgiving,holiday,break,school,stress,test,midterm,okay,life,happiness,joy,peace,love,,,,,,,0,
,toaster,1,0.21,0.23,0.03,0.1,0.07,0.06,0.05,0.13,0.14,0.05,0.04,0.03,0.02,0.04,0.02,0.03,0.02,-0.01,0.02,0.067368421,0.067368421,,0.222105263,0.16,0.168235294,,
,bread,0.21,1,0.49,0.15,0.42,0.37,0.19,0.2,0.25,0.19,0.1,0.03,0.02,0.03,0.07,0.1,0.07,0.12,0.03,0.06,0.163157895,0.160555556,0.21,,,,,
,oven,0.23,0.49,1,0.24,0.33,0.22,0.19,0.23,0.17,0.16,0.04,0.02,0.04,0.01,0.09,0.06,0.05,0.03,0.04,0.02,0.14,0.114117647,0.36,,,,,
,burnt,0.03,0.15,0.24,1,0.11,0.08,0.08,0.16,0.15,0.16,0.06,0.05,0.01,-0.04,0.1,0.13,0.19,0.24,0.12,0.14,0.113684211,0.10875,0.14,,,,,
,ham,0.1,0.42,0.33,0.11,1,0.15,0.11,0.26,0.18,0.02,0.06,-0.04,0,0.02,0.11,0.06,0.06,0.07,0.02,0.09,0.112105263,0.078,0.24,,,,,
,food,0.07,0.37,0.22,0.08,0.15,1,0.11,0.08,0.08,0.36,0.06,0.01,0.03,0.01,0.07,0.18,0.06,0.07,0.05,0.09,0.113157895,0.09,0.178,,,,,
,turkey,0.06,0.19,0.19,0.08,0.11,0.11,1,0.21,0.14,0.07,0.01,0.03,-0.01,0.04,0.11,0.08,0.01,0.02,0.32,0,0.093157895,0.079230769,0.123333333,,,,,
,thanksgiving,0.05,0.2,0.23,0.16,0.26,0.08,0.21,1,0.49,0.07,0.16,-0.01,-0.01,0.12,0.27,0.12,0.18,0.22,0.13,0.18,0.163684211,0.16,0.17,,,,,
,holiday,0.13,0.25,0.17,0.15,0.18,0.08,0.14,0.49,1,0.13,0.14,0.08,0.03,0.18,0.07,0.16,0.27,0.4,0.14,0.21,0.178947368,0.164545455,0.19875,,,,,
,break,0.14,0.19,0.16,0.16,0.02,0.36,0.07,0.07,0.13,1,0.12,0.09,0.1,0.14,0.13,0.17,0.13,0.2,0.16,0.15,0.141578947,0.139,0.144444444,,,,,
,school,0.05,0.1,0.04,0.06,0.06,0.06,0.01,0.16,0.14,0.12,1,0.14,0.13,0.16,0.2,0.21,0.08,0.11,0.04,0.07,0.102105263,0.126666667,0.08,,,,,
,stress,0.04,0.03,0.02,0.05,-0.04,0.01,0.03,-0.01,0.08,0.09,0.14,1,0.06,0.08,0.02,0.23,0.23,0.12,0.03,0.11,0.069473684,0.11,0.04,,,,,
,test,0.03,0.02,0.04,0.01,0,0.03,-0.01,-0.01,0.03,0.1,0.13,0.06,1,0.14,0.06,0.06,0.11,0.06,0.03,0.06,0.05,0.074285714,0.035833333,,,,,
,midterm,0.02,0.03,0.01,-0.04,0.02,0.01,0.04,0.12,0.18,0.14,0.16,0.08,0.14,1,0.11,0.03,0.06,0.06,0.02,0.06,0.065789474,0.056666667,0.07,,,,,
,okay,0.04,0.07,0.09,0.1,0.11,0.07,0.11,0.27,0.07,0.13,0.2,0.02,0.06,0.11,1,0.08,0.02,0.18,0.04,0.17,0.102105263,0.098,0.103571429,,,,,
,life,0.02,0.1,0.06,0.13,0.06,0.18,0.08,0.12,0.16,0.17,0.21,0.23,0.06,0.03,0.08,1,0.48,0.29,0.21,0.35,0.158947368,0.3325,0.112666667,,,,,
,happiness,0.03,0.07,0.05,0.19,0.06,0.06,0.01,0.18,0.27,0.13,0.08,0.23,0.11,0.06,0.02,0.48,1,0.56,0.27,0.67,0.185789474,0.5,0.126875,,,,,
,joy,0.02,0.12,0.03,0.24,0.07,0.07,0.02,0.22,0.4,0.2,0.11,0.12,0.06,0.06,0.18,0.29,0.56,1,0.19,0.58,0.186315789,0.385,0.162941176,,,,,
,peace,-0.01,0.03,0.04,0.12,0.02,0.05,0.32,0.13,0.14,0.16,0.04,0.03,0.03,0.02,0.04,0.21,0.27,0.19,1,0.2,0.106842105,0.2,0.101666667,,,,,
,love,0.02,0.06,0.02,0.14,0.09,0.09,0,0.18,0.21,0.15,0.07,0.11,0.06,0.06,0.17,0.35,0.67,0.58,0.2,1,0.17,,0.17,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.124210526,0.160246679,0.144337892,,,,,
32,Document,toaster,bread,breakfast,butter,golden,eggs,bacon,silver,buttons,lever,heat,silence,down,head,rock,egg,easter,hard-boiled,ugly,jealous,,,,,,,0,
,toaster,1,0.21,0.17,0.21,0.03,0.09,0.14,0.1,0.1,0.01,0.28,0.01,0.08,0.02,0.01,0.08,0.01,0.08,0.02,0.03,0.088421053,0.088421053,,0.240526316,0.179444444,0.159411765,,
,bread,0.21,1,0.51,0.77,0.2,0.29,0.53,0.1,0.1,-0.01,0.05,0.11,0.22,0.16,0.02,0.2,0.13,0.33,0.05,0.04,0.211052632,0.211111111,0.21,,,,,
,breakfast,0.17,0.51,1,0.5,0.21,0.26,0.61,0.11,0.3,0.03,0.01,0.21,0.35,0.25,0.05,0.2,0.21,0.34,0.1,0.02,0.233684211,0.221176471,0.34,,,,,
,butter,0.21,0.77,0.5,1,0.17,0.38,0.54,0.07,0.08,0.03,0.08,0.09,0.21,0.11,0.02,0.28,0.1,0.34,0.02,0.05,0.213157895,0.160625,0.493333333,,,,,
,golden,0.03,0.2,0.21,0.17,1,0.09,0.13,0.52,0.26,0.02,0.03,0.26,0.31,0.3,0.06,0.08,0.16,0.25,0.41,0.37,0.203157895,0.216666667,0.1525,,,,,
,eggs,0.09,0.29,0.26,0.38,0.09,1,0.35,0.01,0.03,0,0.01,0.04,0.11,0.09,0.02,0.86,0.26,0.26,0.1,0.01,0.171578947,0.153571429,0.222,,,,,
,bacon,0.14,0.53,0.61,0.54,0.13,0.35,1,0.1,0.18,0,0.06,0.18,0.23,0.17,0.03,0.27,0.22,0.32,0.06,0.02,0.217894737,0.141538462,0.383333333,,,,,
,silver,0.1,0.1,0.11,0.07,0.52,0.01,0.1,1,0.2,-0.04,0.06,0.13,0.17,0.1,0.03,0.03,0.07,0.16,0.19,0.08,0.115263158,0.098333333,0.144285714,,,,,
,buttons,0.1,0.1,0.3,0.08,0.26,0.03,0.18,0.2,1,0.11,0,0.2,0.31,0.28,0.05,0.04,0.14,0.22,0.26,0.05,0.153157895,0.150909091,0.15625,,,,,
,lever,0.01,-0.01,0.03,0.03,0.02,0,0,-0.04,0.11,1,0,-0.01,0.11,0.07,0.09,0.01,0,0.08,0,-0.01,0.025789474,0.034,0.016666667,,,,,
,heat,0.28,0.05,0.01,0.08,0.03,0.01,0.06,0.06,0,0,1,0.05,0.1,0.05,0.13,0.02,-0.03,0.12,0.05,0.01,0.056842105,0.055555556,0.058,,,,,
,silence,0.01,0.11,0.21,0.09,0.26,0.04,0.18,0.13,0.2,-0.01,0.05,1,0.55,0.46,0.06,0.03,0.06,0.26,0.37,0.17,0.17,0.245,0.115454545,,,,,
,down,0.08,0.22,0.35,0.21,0.31,0.11,0.23,0.17,0.31,0.11,0.1,0.55,1,0.55,0.22,0.1,0.14,0.48,0.41,0.2,0.255263158,0.3,0.229166667,,,,,
,head,0.02,0.16,0.25,0.11,0.3,0.09,0.17,0.1,0.28,0.07,0.05,0.46,0.55,1,0.08,0.06,0.09,0.4,0.42,0.18,0.202105263,0.205,0.200769231,,,,,
,rock,0.01,0.02,0.05,0.02,0.06,0.02,0.03,0.03,0.05,0.09,0.13,0.06,0.22,0.08,1,0.03,0.01,0.18,0.05,0.02,0.061052632,0.058,0.062142857,,,,,
,egg,0.08,0.2,0.2,0.28,0.08,0.86,0.27,0.03,0.04,0.01,0.02,0.03,0.1,0.06,0.03,1,0.24,0.23,0.07,0,0.148947368,0.135,0.152666667,,,,,
,easter,0.01,0.13,0.21,0.1,0.16,0.26,0.22,0.07,0.14,0,-0.03,0.06,0.14,0.09,0.01,0.24,1,0.18,0.15,0.03,0.114210526,0.12,0.113125,,,,,
,hard-boiled,0.08,0.33,0.34,0.34,0.25,0.26,0.32,0.16,0.22,0.08,0.12,0.26,0.48,0.4,0.18,0.23,0.18,1,0.31,0.2,0.249473684,0.255,0.248823529,,,,,
,ugly,0.02,0.05,0.1,0.02,0.41,0.1,0.06,0.19,0.26,0,0.05,0.37,0.41,0.42,0.05,0.07,0.15,0.31,1,0.34,0.177894737,0.34,0.168888889,,,,,
,jealous,0.03,0.04,0.02,0.05,0.37,0.01,0.02,0.08,0.05,-0.01,0.01,0.17,0.2,0.18,0.02,0,0.03,0.2,0.34,1,0.095263158,,0.095263158,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.158210526,0.167889904,0.192633691,,,,,
33,Document,toaster,bunny,cracker,shoe,wrench,paint,wheel barrow,black,paint,pikachu,pool,china,pink,flower,dress,bike,ride,shoe,pikachu,voices,,,,,,,1,
,toaster,1,-0.03,0.1,0.09,-0.03,0.03,0.01,0.02,0.03,N/A,0,0,0.01,0.02,0.06,0.05,0.04,0.09,N/A,0.01,0.029411765,0.029411765,,0.128666667,0.176,0.140714286,,
,bunny,-0.03,1,0.15,0.22,-0.01,0.13,0,0.03,0.13,N/A,0.18,0.03,0.16,0,0.17,0.04,0.06,0.22,N/A,0.15,0.095882353,0.10375,-0.03,,,,,
,cracker,0.1,0.15,1,0.21,0.01,0.02,0.07,0.07,0.02,N/A,0.07,0.01,0.19,-0.01,0.03,0.12,0.06,0.21,N/A,0.12,0.085294118,0.08,0.125,,,,,
,shoe,0.09,0.22,0.21,1,0.11,0.21,0.09,0.17,0.21,N/A,0.18,0.07,0.32,-0.01,0.39,0.22,0.16,1,N/A,0.2,0.225882353,0.237142857,0.173333333,,,,,
,wrench,-0.03,-0.01,0.01,0.11,1,0.02,0.43,0,0.02,N/A,0.02,0,0.01,0.04,0.07,0.07,0.01,0.11,N/A,0.04,0.054117647,0.064615385,0.02,,,,,
,paint,0.03,0.13,0.02,0.21,0.02,1,0.01,0.13,1,N/A,0.11,-0.01,0.24,0.11,0.16,0.07,0.08,0.21,N/A,0.01,0.148823529,0.176666667,0.082,,,,,
,wheel barrow,0.01,0,0.07,0.09,0.43,0.01,1,0.05,0.01,N/A,0.01,0,0.13,0.01,0.07,0.48,0.21,0.09,N/A,0.06,0.101764706,0.101818182,0.101666667,,,,,
,black,0.02,0.03,0.07,0.17,0,0.13,0.05,1,0.13,N/A,0.15,0.04,0.39,0.04,0.26,0.05,0.14,0.17,N/A,0.16,0.117647059,0.153,0.067142857,,,,,
,paint,0.03,0.13,0.02,0.21,0.02,1,0.01,0.13,1,N/A,0.11,-0.01,0.24,0.11,0.16,0.07,0.08,0.21,N/A,0.01,0.148823529,0.108888889,0.19375,,,,,
,pikachu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,pool,0,0.18,0.07,0.18,0.02,0.11,0.01,0.15,0.11,N/A,1,0.03,0.26,0.01,0.14,0.14,0.16,0.18,N/A,0.2,0.114705882,0.14,0.092222222,,,,,
,china,0,0.03,0.01,0.07,0,-0.01,0,0.04,-0.01,N/A,0.03,1,0.04,0.02,0.03,0,0.03,0.07,N/A,0.01,0.021176471,0.028571429,0.016,,,,,
,pink,0.01,0.16,0.19,0.32,0.01,0.24,0.13,0.39,0.24,N/A,0.26,0.04,1,0.23,0.59,0.12,0.13,0.32,N/A,0.22,0.211764706,0.268333333,0.180909091,,,,,
,flower,0.02,0,-0.01,-0.01,0.04,0.11,0.01,0.04,0.11,N/A,0.01,0.02,0.23,1,0.14,0.02,0.02,-0.01,N/A,0.03,0.045294118,0.04,0.0475,,,,,
,dress,0.06,0.17,0.03,0.39,0.07,0.16,0.07,0.26,0.16,N/A,0.14,0.03,0.59,0.14,1,0.14,0.11,0.39,N/A,0.16,0.180588235,0.2,0.174615385,,,,,
,bike,0.05,0.04,0.12,0.22,0.07,0.07,0.48,0.05,0.07,N/A,0.14,0,0.12,0.02,0.14,1,0.54,0.22,N/A,0.06,0.141764706,0.273333333,0.113571429,,,,,
,ride,0.04,0.06,0.06,0.16,0.01,0.08,0.21,0.14,0.08,N/A,0.16,0.03,0.13,0.02,0.11,0.54,1,0.16,N/A,0.07,0.121176471,0.115,0.122,,,,,
,shoe,0.09,0.22,0.21,1,0.11,0.21,0.09,0.17,0.21,N/A,0.18,0.07,0.32,-0.01,0.39,0.22,0.16,1,N/A,0.2,0.225882353,0.2,0.2275,,,,,
,pikachu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,voices,0.01,0.15,0.12,0.2,0.04,0.01,0.06,0.16,0.01,N/A,0.2,0.01,0.22,0.03,0.16,0.06,0.07,0.2,N/A,1,0.100588235,,0.100588235,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.120588235,0.136501873,0.106700686,,,,,
34,Document,toaster,coffee,milk,ascott,scooby doo,cats,trees,tables,knees,white,black,actor,trees,india,pen,black,harmonics,link,smash bros,pit,,,,,,,2,
,toaster,1,0.17,0.12,N/A,0.03,-0.02,0.03,0.04,0.01,0.01,0.02,-0.01,0.03,0.01,0.02,0.02,-0.12,0.12,0.05,0,0.029444444,0.029444444,,0.134117647,0.0825,0.075333333,,
,coffee,0.17,1,0.29,N/A,0.14,0.01,0.15,0.34,0.18,0.17,0.13,0,0.15,0.04,0.11,0.13,-0.02,0.12,0.06,0.11,0.126666667,0.124117647,0.17,,,,,
,milk,0.12,0.29,1,N/A,0.2,0.15,0.05,0.05,0.05,0.07,0.05,-0.02,0.05,0.02,0.18,0.05,0.01,0.05,0.04,0.16,0.087222222,0.0725,0.205,,,,,
,ascott,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,scooby doo,0.03,0.14,0.2,N/A,1,0.2,-0.06,0.1,0.1,0.07,0.09,0.09,-0.06,-0.03,0.22,0.09,0.06,0.1,0.11,0.07,0.084444444,0.076666667,0.123333333,,,,,
,cats,-0.02,0.01,0.15,N/A,0.2,1,0.06,0.04,0.06,0.14,0.23,0.12,0.06,0,0.26,0.23,-0.02,0.1,0.03,0.15,0.1,0.104285714,0.085,,,,,
,trees,0.03,0.15,0.05,N/A,-0.06,0.06,1,0.09,0.13,0.16,0.1,0.03,1,0.01,0.03,0.1,-0.01,0.06,0.01,0.14,0.115555556,,,,,,,
,tables,0.04,0.34,0.05,N/A,0.1,0.04,0.09,1,0.1,0.19,0.11,0.05,0.09,0.01,0.08,0.11,0,0.07,0.12,0.06,0.091666667,0.0825,0.11,,,,,
,knees,0.01,0.18,0.05,N/A,0.1,0.06,0.13,0.1,1,0.23,0.26,0.07,0.13,0.01,0.18,0.26,-0.02,0.1,0.14,0.27,0.125555556,0.148181818,0.09,,,,,
,white,0.01,0.17,0.07,N/A,0.07,0.14,0.16,0.19,0.23,1,0.72,0.04,0.16,0.02,0.08,0.72,0,0.14,0.08,0.19,0.177222222,0.215,0.13,,,,,
,black,0.02,0.13,0.05,N/A,0.09,0.23,0.1,0.11,0.26,0.72,1,0.07,0.1,0,0.12,1,-0.02,0.13,0.05,0.28,0.191111111,0.192222222,0.19,,,,,
,actor,-0.01,0,-0.02,N/A,0.09,0.12,0.03,0.05,0.07,0.04,0.07,1,0.03,0,0.01,0.07,0.04,0.01,0.06,0.07,0.040555556,0.03625,0.044,,,,,
,trees,0.03,0.15,0.05,N/A,-0.06,0.06,1,0.09,0.13,0.16,0.1,0.03,1,0.01,0.03,0.1,-0.01,0.06,0.01,0.14,0.115555556,0.048571429,0.158181818,,,,,
,india,0.01,0.04,0.02,N/A,-0.03,0,0.01,0.01,0.01,0.02,0,0,0.01,1,-0.03,0,0.01,0.17,0.04,0.03,0.017777778,0.036666667,0.008333333,,,,,
,pen,0.02,0.11,0.18,N/A,0.22,0.26,0.03,0.08,0.18,0.08,0.12,0.01,0.03,-0.03,1,0.12,0.06,0.03,0.03,0.08,0.089444444,0.064,0.099230769,,,,,
,black,0.02,0.13,0.05,N/A,0.09,0.23,0.1,0.11,0.26,0.72,1,0.07,0.1,0,0.12,1,-0.02,0.13,0.05,0.28,0.191111111,0.11,0.214285714,,,,,
,harmonics,-0.12,-0.02,0.01,N/A,0.06,-0.02,-0.01,0,-0.02,0,-0.02,0.04,-0.01,0.01,0.06,-0.02,1,-0.03,0,-0.02,-0.006111111,-0.016666667,-0.004,,,,,
,link,0.12,0.12,0.05,N/A,0.1,0.1,0.06,0.07,0.1,0.14,0.13,0.01,0.06,0.17,0.03,0.13,-0.03,1,0.12,0.08,0.086666667,0.1,0.085,,,,,
,smash bros,0.05,0.06,0.04,N/A,0.11,0.03,0.01,0.12,0.14,0.08,0.05,0.06,0.01,0.04,0.03,0.05,0,0.12,1,0.15,0.063888889,0.15,0.058823529,,,,,
,pit,0,0.11,0.16,N/A,0.07,0.15,0.14,0.06,0.27,0.19,0.28,0.07,0.14,0.03,0.08,0.28,-0.02,0.08,0.15,1,0.124444444,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.09748538,0.092572938,0.110449281,,,,,
35,Document,toaster,bread,peanut butter,fridge,mill creek,apartment,bus,Franklin,spicy 9,sushi,japan,planes,jeremih,music,rap,radio,spotify,computer,macbook,homework,,,,,,,3,
,toaster,1,0.21,0.19,0.14,0.05,0.09,0.08,0.05,0.15,0.04,-0.01,0.06,N/A,-0.01,-0.02,0.11,N/A,0.01,N/A,0.09,0.076875,0.076875,,0.153846154,0.1,0.0725,,
,bread,0.21,1,0.77,0.21,0.14,0.04,0.06,0.02,0.2,0.26,-0.04,0,N/A,0.03,0.06,0.04,N/A,-0.01,N/A,0.13,0.1325,0.127333333,0.21,,,,,
,peanut butter,0.19,0.77,1,0.28,0.13,0.07,0.11,0.03,0.18,0.06,-0.03,0.01,N/A,0.02,0.05,0.07,N/A,0.01,N/A,0.2,0.134375,0.085,0.48,,,,,
,fridge,0.14,0.21,0.28,1,0.04,0.21,0.07,0.09,0.07,-0.05,-0.02,-0.02,N/A,-0.03,0.01,0.09,N/A,0.01,N/A,0.21,0.081875,0.052307692,0.21,,,,,
,mill creek,0.05,0.14,0.13,0.04,1,0.05,-0.02,0.03,0.05,0,0.07,0.02,N/A,0.01,0.15,0.03,N/A,0.01,N/A,0.1,0.05375,0.041666667,0.09,,,,,
,apartment,0.09,0.04,0.07,0.21,0.05,1,0.22,0.04,0.09,-0.01,0,0.08,N/A,0.06,0.21,0.09,N/A,0.01,N/A,0.25,0.09375,0.094545455,0.092,,,,,
,bus,0.08,0.06,0.11,0.07,-0.02,0.22,1,0,0.11,-0.02,-0.02,0.17,N/A,0.01,0.11,0.1,N/A,0.01,N/A,0.21,0.075,0.068,0.086666667,,,,,
,Franklin,0.05,0.02,0.03,0.09,0.03,0.04,0,1,0.06,0.03,0.09,-0.03,N/A,0,0.06,0.09,N/A,-0.02,N/A,0.06,0.0375,0.037777778,0.037142857,,,,,
,spicy 9,0.15,0.2,0.18,0.07,0.05,0.09,0.11,0.06,1,0.1,0.01,0.18,N/A,0.04,0.12,0.08,N/A,0.14,N/A,0.06,0.1025,0.09125,0.11375,,,,,
,sushi,0.04,0.26,0.06,-0.05,0,-0.01,-0.02,0.03,0.1,1,0.08,0.07,N/A,-0.05,-0.05,0.02,N/A,0,N/A,0.03,0.031875,0.014285714,0.045555556,,,,,
,japan,-0.01,-0.04,-0.03,-0.02,0.07,0,-0.02,0.09,0.01,0.08,1,0.06,N/A,0.03,0,0.06,N/A,0.02,N/A,-0.01,0.018125,0.026666667,0.013,,,,,
