SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,NAs
,defect,0.02,-0.01,0.01,0.02,0.11,0.07,0.01,-0.01,0.06,0.07,1,0.04,0.04,0.03,-0.04,0,0.03,N/A,0.12,0.15,0.04,0.04625,0.035,,,,
,chip,0.18,0.18,0.1,0.11,0.06,0.19,0.03,0.05,0.07,0.1,0.04,1,0.12,0.08,0.06,0.12,0.04,N/A,0.04,0.03,0.088888889,0.07,0.100909091,,,,
,potato,0.17,0.17,0.13,0.15,0.15,0.05,0.09,0.04,0.08,0.03,0.04,0.12,1,0.49,0.32,0.1,0,N/A,0.04,0.12,0.127222222,0.178333333,0.101666667,,,,
,flavor,0.13,0.16,0.15,0.2,0.23,0,0.06,0.03,0.08,0.06,0.03,0.08,0.49,1,0.57,0.18,0.06,N/A,0.11,0.08,0.15,0.2,0.130769231,,,,
,appetizers,0.32,0.07,0.02,-0.02,0.12,0.03,-0.01,-0.09,0.12,0.07,-0.04,0.06,0.32,0.57,1,0,-0.02,N/A,0.09,-0.01,0.088888889,0.015,0.11,,,,
,ice,0.03,0.04,0.04,0.12,0.04,0.04,0.11,-0.01,0.02,0.04,0,0.12,0.1,0.18,0,1,0.44,N/A,0.04,0.02,0.076111111,0.166666667,0.058,,,,
,polar,0.03,0,0.04,0.08,0.1,0.04,0.21,-0.03,0,-0.03,0.03,0.04,0,0.06,-0.02,0.44,1,N/A,0.04,0.06,0.060555556,0.05,0.061875,,,,
,paramedic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,general,0.11,0.05,0.02,0.03,0.11,0.02,0.05,0,0.03,0.06,0.12,0.04,0.04,0.11,0.09,0.04,0.04,N/A,1,0.14,0.061111111,0.14,0.056470588,,,,
,death,0.03,0.04,0.03,0.03,0.16,0.09,0.09,0.04,0.02,0.04,0.15,0.03,0.12,0.08,-0.01,0.02,0.06,N/A,0.14,1,0.064444444,,0.064444444,,,,
,,,,,,,,,,,,,,,,,,,,,,0.087894737,0.091046769,0.11726938,,,,
161,Document,table,brown,furniture,chair,sit,sleep,alarm,tired,walk,room,work,write,pen,pencil,ink,chicken,food,mango,sandwich,ice,,,,,,,0
,table,1,0.12,0.32,0.61,0.42,0.07,0.07,0.18,0.08,0.44,0.1,0.04,0.11,0.14,0.11,0.28,0.08,0.1,0.31,0.03,0.19,0.19,,0.287368421,0.236666667,0.240588235,
,brown,0.12,1,0.06,0.21,0.28,0.14,0.14,0.21,0.24,0.16,0.08,0.06,0.16,0.1,0.04,0.2,0.09,0.03,0.19,0.1,0.137368421,0.138333333,0.12,,,,
,furniture,0.32,0.06,1,0.4,0.24,0.06,0.07,0.07,0.09,0.46,0.18,0.03,0.09,0.15,0.07,0.12,0.11,0.05,0.07,0.01,0.139473684,0.133529412,0.19,,,,
,chair,0.61,0.21,0.4,1,0.62,0.28,0.24,0.35,0.23,0.75,0.14,0.1,0.23,0.21,0.09,0.24,0.04,0.02,0.31,0.05,0.269473684,0.24375,0.406666667,,,,
,sit,0.42,0.28,0.24,0.62,1,0.4,0.28,0.57,0.51,0.51,0.21,0.15,0.35,0.23,0.09,0.3,0.11,0.2,0.28,0.08,0.306842105,0.284666667,0.39,,,,
,sleep,0.07,0.14,0.06,0.28,0.4,1,0.37,0.68,0.23,0.29,0.14,0.04,0.15,0.04,0.04,0.04,0.14,-0.02,0.15,0.03,0.172105263,0.165714286,0.19,,,,
,alarm,0.07,0.14,0.07,0.24,0.28,0.37,1,0.31,0.2,0.3,0.16,0.05,0.13,0.08,0.06,0.13,0.04,0.02,0.16,0.04,0.15,0.129230769,0.195,,,,
,tired,0.18,0.21,0.07,0.35,0.57,0.68,0.31,1,0.5,0.3,0.3,0.07,0.16,0.1,0.06,0.16,0.18,0.15,0.22,0.06,0.243684211,0.188333333,0.338571429,,,,
,walk,0.08,0.24,0.09,0.23,0.51,0.23,0.2,0.5,1,0.24,0.18,0.08,0.08,0.12,0.03,0.17,0.12,0.24,0.2,0.09,0.191052632,0.140909091,0.26,,,,
,room,0.44,0.16,0.46,0.75,0.51,0.29,0.3,0.3,0.24,1,0.16,0.07,0.19,0.18,0.09,0.17,0.07,-0.03,0.18,0.04,0.240526316,0.112,0.383333333,,,,
,work,0.1,0.08,0.18,0.14,0.21,0.14,0.16,0.3,0.18,0.16,1,0.14,0.14,0.2,0.07,0.12,0.18,0.05,0.08,0.04,0.140526316,0.113333333,0.165,,,,
,write,0.04,0.06,0.03,0.1,0.15,0.04,0.05,0.07,0.08,0.07,0.14,1,0.43,0.28,0.17,0.03,0.05,0.01,0.03,0.01,0.096842105,0.12625,0.075454545,,,,
,pen,0.11,0.16,0.09,0.23,0.35,0.15,0.13,0.16,0.08,0.19,0.14,0.43,1,0.42,0.34,0.25,0.02,-0.09,0.09,-0.01,0.170526316,0.145714286,0.185,,,,
,pencil,0.14,0.1,0.15,0.21,0.23,0.04,0.08,0.1,0.12,0.18,0.2,0.28,0.42,1,0.58,0.03,0.03,-0.04,0.15,0.05,0.160526316,0.133333333,0.173076923,,,,
,ink,0.11,0.04,0.07,0.09,0.09,0.04,0.06,0.06,0.03,0.09,0.07,0.17,0.34,0.58,1,0.04,0.02,0.02,0.1,-0.02,0.105263158,0.032,0.131428571,,,,
,chicken,0.28,0.2,0.12,0.24,0.3,0.04,0.13,0.16,0.17,0.17,0.12,0.03,0.25,0.03,0.04,1,0.26,0.28,0.49,0.08,0.178421053,0.2775,0.152,,,,
,food,0.08,0.09,0.11,0.04,0.11,0.14,0.04,0.18,0.12,0.07,0.18,0.05,0.02,0.03,0.02,0.26,1,0.08,0.3,0.07,0.104736842,0.15,0.09625,,,,
,mango,0.1,0.03,0.05,0.02,0.2,-0.02,0.02,0.15,0.24,-0.03,0.05,0.01,-0.09,-0.04,0.02,0.28,0.08,1,0.23,0.11,0.074210526,0.17,0.062941176,,,,
,sandwich,0.31,0.19,0.07,0.31,0.28,0.15,0.16,0.22,0.2,0.18,0.08,0.03,0.09,0.15,0.1,0.49,0.3,0.23,1,0.1,0.191578947,0.1,0.196666667,,,,
,ice,0.03,0.1,0.01,0.05,0.08,0.03,0.04,0.06,0.09,0.04,0.04,0.01,-0.01,0.05,-0.02,0.08,0.07,0.11,0.1,1,0.050526316,,0.050526316,,,,
,,,,,,,,,,,,,,,,,,,,,,0.165684211,0.156557781,0.206188295,,,,
162,Document,table,legs,flat,meals,stable,family,center,well-lit,wood,drinks,food,chats,casual,formal,relaxed,fun,friends,communication,clean,common,,,,,,,0
,table,1,0.1,0.13,0.23,0.18,0.12,0.08,0.27,0.15,0.06,0.08,0.02,0.24,0.1,0.13,0.08,0.18,0.03,0.21,0.17,0.134736842,0.134736842,,0.142105263,0.122222222,0.114117647,
,legs,0.1,1,0.23,0,0.03,0.05,0.12,0.27,0.06,0,0.1,0.05,0.1,0.04,0.21,0.23,0.13,0.02,0.07,0.09,0.1,0.1,0.1,,,,
,flat,0.13,0.23,1,0.06,0.05,0.05,0.25,0.27,0.29,0.03,0.08,0.02,0.07,0,0.11,0.11,0.09,0.01,0.13,0.17,0.113157895,0.105294118,0.18,,,,
,meals,0.23,0,0.06,1,0.03,0.21,0.07,0.21,0.04,0.23,0.52,0.01,0.21,0.06,0.14,0.17,0.16,-0.03,0.23,0.09,0.138947368,0.146875,0.096666667,,,,
,stable,0.18,0.03,0.05,0.03,1,0.11,0.12,0.18,0.06,-0.02,0.04,0.03,0.1,0.13,0.02,0.06,0.07,0.03,0.09,0.18,0.078421053,0.08,0.0725,,,,
,family,0.12,0.05,0.05,0.21,0.11,1,0.06,0.26,0.04,0.06,0.13,0.01,0.15,0.11,0.07,0.21,0.33,0.07,0.11,0.17,0.122105263,0.127142857,0.108,,,,
,center,0.08,0.12,0.25,0.07,0.12,0.06,1,0.2,0.16,0.05,0.08,-0.03,0.13,0.08,0.12,0.08,0.1,0.02,0.13,0.1,0.101052632,0.093846154,0.116666667,,,,
,well-lit,0.27,0.27,0.27,0.21,0.18,0.26,0.2,1,0.23,0.11,0.19,0.1,0.43,0.24,0.37,0.33,0.37,0.17,0.29,0.28,0.251052632,0.259166667,0.237142857,,,,
,wood,0.15,0.06,0.29,0.04,0.06,0.04,0.16,0.23,1,0.04,0.14,0.06,0.07,0.01,0.06,0.1,0.05,0.02,0.1,0.2,0.098947368,0.077272727,0.12875,,,,
,drinks,0.06,0,0.03,0.23,-0.02,0.06,0.05,0.11,0.04,1,0.11,0.04,0.06,0.03,0.24,0.09,0.06,-0.01,0.08,0.06,0.069473684,0.076,0.062222222,,,,
,food,0.08,0.1,0.08,0.52,0.04,0.13,0.08,0.19,0.14,0.11,1,0,0.12,0.03,0.09,0.1,0.08,0.03,0.17,0.15,0.117894737,0.085555556,0.147,,,,
,chats,0.02,0.05,0.02,0.01,0.03,0.01,-0.03,0.1,0.06,0.04,0,1,0.07,-0.02,0.05,0.08,0.05,-0.01,0.07,0.05,0.034210526,0.0425,0.028181818,,,,
,casual,0.24,0.1,0.07,0.21,0.1,0.15,0.13,0.43,0.07,0.06,0.12,0.07,1,0.45,0.4,0.2,0.29,0.26,0.17,0.29,0.200526316,0.294285714,0.145833333,,,,
,formal,0.1,0.04,0,0.06,0.13,0.11,0.08,0.24,0.01,0.03,0.03,-0.02,0.45,1,0.15,0.04,0.13,0.4,0.05,0.34,0.124736842,0.185,0.096923077,,,,
,relaxed,0.13,0.21,0.11,0.14,0.02,0.07,0.12,0.37,0.06,0.24,0.09,0.05,0.4,0.15,1,0.19,0.17,0.18,0.15,0.09,0.154736842,0.156,0.154285714,,,,
,fun,0.08,0.23,0.11,0.17,0.06,0.21,0.08,0.33,0.1,0.09,0.1,0.08,0.2,0.04,0.19,1,0.52,0,0.27,0.05,0.153157895,0.21,0.138,,,,
,friends,0.18,0.13,0.09,0.16,0.07,0.33,0.1,0.37,0.05,0.06,0.08,0.05,0.29,0.13,0.17,0.52,1,0.1,0.13,0.12,0.164736842,0.116666667,0.17375,,,,
,communication,0.03,0.02,0.01,-0.03,0.03,0.07,0.02,0.17,0.02,-0.01,0.03,-0.01,0.26,0.4,0.18,0,0.1,1,-0.01,0.14,0.074736842,0.065,0.075882353,,,,
,clean,0.21,0.07,0.13,0.23,0.09,0.11,0.13,0.29,0.1,0.08,0.17,0.07,0.17,0.05,0.15,0.27,0.13,-0.01,1,0.06,0.131578947,0.06,0.135555556,,,,
,common,0.17,0.09,0.17,0.09,0.18,0.17,0.1,0.28,0.2,0.06,0.15,0.05,0.29,0.34,0.09,0.05,0.12,0.14,0.06,1,0.147368421,,0.147368421,,,,
,,,,,,,,,,,,,,,,,,,,,,0.125578947,0.127123279,0.12207557,,,,
163,Document,table,phone,friends,soccer,winning,water,wrist band,shoes,hair tie,school,learning,failing,hunting,fishing,clothes,sleeping,happy,headache,noise,glass,,,,,,,0
,table,1,0.15,0.18,0.06,0.03,0.11,0.15,0.17,0.07,0.1,0.05,0.06,0,0,0.1,0.09,0.19,0.1,0.08,0.16,0.097368421,0.097368421,,0.197368421,0.142777778,0.106470588,
,phone,0.15,1,0.19,0.05,0.03,0,0.14,0.08,0.06,0.17,0.02,0.11,0.02,0.05,0.09,0.08,0.12,0.08,0.2,0.07,0.09,0.086666667,0.15,,,,
,friends,0.18,0.19,1,0.17,0.18,0.06,0.22,0.16,0.09,0.31,0.09,0.26,0.1,0.1,0.2,0.16,0.56,0.12,0.16,0.03,0.175789474,0.174705882,0.185,,,,
,soccer,0.06,0.05,0.17,1,0.43,0.01,0.1,0.08,0.02,0.12,0.04,0.01,0.05,0.02,0.06,0.03,0.05,0.05,0.01,0.02,0.072631579,0.06875,0.093333333,,,,
,winning,0.03,0.03,0.18,0.43,1,0.03,0.13,0.07,0.04,0.14,0.06,0.22,0.05,0.03,0.04,0.02,0.12,0.06,0.09,0.04,0.095263158,0.076,0.1675,,,,
,water,0.11,0,0.06,0.01,0.03,1,0.1,0.07,0.07,0.05,0.03,0.05,0.09,0.21,0.16,0.11,0.1,0.03,0.11,0.24,0.085789474,0.101428571,0.042,,,,
,wrist band,0.15,0.14,0.22,0.1,0.13,0.1,1,0.22,0.15,0.16,0.03,0.07,0.24,0.12,0.12,0.12,0.2,0.08,0.25,0.19,0.146842105,0.15,0.14,,,,
,shoes,0.17,0.08,0.16,0.08,0.07,0.07,0.22,1,0.36,0.25,0.04,0.06,0.06,0.13,0.66,0.21,0.22,0.09,0.14,0.2,0.172105263,0.201666667,0.121428571,,,,
,hair tie,0.07,0.06,0.09,0.02,0.04,0.07,0.15,0.36,1,0.08,0.05,0.04,0.06,0.05,0.34,0.15,0.12,0.04,0.06,0.08,0.101578947,0.097272727,0.1075,,,,
,school,0.1,0.17,0.31,0.12,0.14,0.05,0.16,0.25,0.08,1,0.22,0.22,0.04,0.11,0.23,0.07,0.24,0.16,0.09,0.03,0.146842105,0.141,0.153333333,,,,
,learning,0.05,0.02,0.09,0.04,0.06,0.03,0.03,0.04,0.05,0.22,1,0.23,0.02,0.01,0.03,0.04,0.07,0.01,0.04,0.02,0.057894737,0.052222222,0.063,,,,
,failing,0.06,0.11,0.26,0.01,0.22,0.05,0.07,0.06,0.04,0.22,0.23,1,0.05,0.1,0.08,0.09,0.17,0.18,0.13,0.02,0.113157895,0.1025,0.120909091,,,,
,hunting,0,0.02,0.1,0.05,0.05,0.09,0.24,0.06,0.06,0.04,0.02,0.05,1,0.3,0.15,0.24,0.12,0.02,0.14,-0.03,0.090526316,0.134285714,0.065,,,,
,fishing,0,0.05,0.1,0.02,0.03,0.21,0.12,0.13,0.05,0.11,0.01,0.1,0.3,1,0.15,0.16,0.17,0.02,0.07,0.02,0.095789474,0.098333333,0.094615385,,,,
,clothes,0.1,0.09,0.2,0.06,0.04,0.16,0.12,0.66,0.34,0.23,0.03,0.08,0.15,0.15,1,0.34,0.28,0.14,0.2,0.19,0.187368421,0.23,0.172142857,,,,
,sleeping,0.09,0.08,0.16,0.03,0.02,0.11,0.12,0.21,0.15,0.07,0.04,0.09,0.24,0.16,0.34,1,0.24,0.33,0.4,0.11,0.157368421,0.27,0.127333333,,,,
,happy,0.19,0.12,0.56,0.05,0.12,0.1,0.2,0.22,0.12,0.24,0.07,0.17,0.12,0.17,0.28,0.24,1,0.21,0.26,0.1,0.186315789,0.19,0.185625,,,,
,headache,0.1,0.08,0.12,0.05,0.06,0.03,0.08,0.09,0.04,0.16,0.01,0.18,0.02,0.02,0.14,0.33,0.21,1,0.14,-0.02,0.096842105,0.06,0.101176471,,,,
,noise,0.08,0.2,0.16,0.01,0.09,0.11,0.25,0.14,0.06,0.09,0.04,0.13,0.14,0.07,0.2,0.4,0.26,0.14,1,0.14,0.142631579,0.14,0.142777778,,,,
,glass,0.16,0.07,0.03,0.02,0.04,0.24,0.19,0.2,0.08,0.03,0.02,0.02,-0.03,0.02,0.19,0.11,0.1,-0.02,0.14,1,0.084736842,,0.084736842,,,,
,,,,,,,,,,,,,,,,,,,,,,0.119842105,0.1301158,0.124037508,,,,
164,Document,table,chair,plate,spoon,knife,fork,food,utensils,napkin,cloth,dish,sink,disposal,soap,bubbles,smell,wet,water,slippery,floor,,,,,,,0
,table,1,0.61,0.32,0.45,0.3,0.42,0.08,0.31,0.63,0.11,0.32,0.28,0.05,0.05,0.06,0.14,0.1,0.11,0.1,0.22,0.245263158,0.245263158,,0.282631579,0.225,0.278235294,
,chair,0.61,1,0.19,0.38,0.23,0.28,0.04,0.18,0.47,0.13,0.27,0.4,0.06,0.1,0.08,0.15,0.16,0.06,0.19,0.5,0.235789474,0.215,0.61,,,,
,plate,0.32,0.19,1,0.39,0.23,0.34,0.1,0.18,0.47,0.07,0.32,0.21,0.05,0.06,0.17,0.05,0.05,0.07,0.08,0.18,0.185789474,0.177647059,0.255,,,,
,spoon,0.45,0.38,0.39,1,0.37,0.48,0.18,0.39,0.5,0.13,0.54,0.36,0.06,0.09,0.24,0.16,0.15,0.17,0.15,0.12,0.279473684,0.255625,0.406666667,,,,
,knife,0.3,0.23,0.23,0.37,1,0.34,0.12,0.29,0.33,0.31,0.34,0.26,-0.01,0.21,0.21,0.12,0.2,0.13,0.24,0.08,0.226315789,0.211333333,0.2825,,,,
,fork,0.42,0.28,0.34,0.48,0.34,1,0.14,0.35,0.43,0.11,0.41,0.18,0.04,0.06,0.1,0.18,0.07,0.08,0.1,0.06,0.219473684,0.165,0.372,,,,
,food,0.08,0.04,0.1,0.18,0.12,0.14,1,0.46,0.1,0.12,0.27,0.13,0.08,0.07,0.07,0.13,0.15,0.26,0.16,0.09,0.144736842,0.160769231,0.11,,,,
,utensils,0.31,0.18,0.18,0.39,0.29,0.35,0.46,1,0.29,0.21,0.5,0.17,0.12,0.2,0.14,0.14,0.07,0.12,0.13,0.11,0.229473684,0.183333333,0.308571429,,,,
,napkin,0.63,0.47,0.47,0.5,0.33,0.43,0.1,0.29,1,0.1,0.49,0.34,0.05,0.08,0.15,0.14,0.14,0.04,0.12,0.18,0.265789474,0.166363636,0.4025,,,,
,cloth,0.11,0.13,0.07,0.13,0.31,0.11,0.12,0.21,0.1,1,0.1,0.07,-0.02,0.37,0.11,0.02,0.16,0.1,0.11,0.08,0.125789474,0.11,0.143333333,,,,
,dish,0.32,0.27,0.32,0.54,0.34,0.41,0.27,0.5,0.49,0.1,1,0.46,0.05,0.26,0.41,0.24,0.24,0.27,0.13,0.12,0.302105263,0.242222222,0.356,,,,
,sink,0.28,0.4,0.21,0.36,0.26,0.18,0.13,0.17,0.34,0.07,0.46,1,0.17,0.33,0.43,0.15,0.36,0.59,0.26,0.36,0.29,0.33125,0.26,,,,
,disposal,0.05,0.06,0.05,0.06,-0.01,0.04,0.08,0.12,0.05,-0.02,0.05,0.17,1,0.05,-0.02,0.04,0.02,0.24,0.01,0.03,0.056315789,0.052857143,0.058333333,,,,
,soap,0.05,0.1,0.06,0.09,0.21,0.06,0.07,0.2,0.08,0.37,0.26,0.33,0.05,1,0.32,0.1,0.29,0.39,0.26,0.16,0.181578947,0.253333333,0.148461538,,,,
,bubbles,0.06,0.08,0.17,0.24,0.21,0.1,0.07,0.14,0.15,0.11,0.41,0.43,-0.02,0.32,1,0.11,0.3,0.5,0.2,0.08,0.192631579,0.238,0.176428571,,,,
,smell,0.14,0.15,0.05,0.16,0.12,0.18,0.13,0.14,0.14,0.02,0.24,0.15,0.04,0.1,0.11,1,0.22,0.1,0.16,0.11,0.129473684,0.1475,0.124666667,,,,
,wet,0.1,0.16,0.05,0.15,0.2,0.07,0.15,0.07,0.14,0.16,0.24,0.36,0.02,0.29,0.3,0.22,1,0.45,0.31,0.19,0.191052632,0.316666667,0.1675,,,,
,water,0.11,0.06,0.07,0.17,0.13,0.08,0.26,0.12,0.04,0.1,0.27,0.59,0.24,0.39,0.5,0.1,0.45,1,0.26,0.13,0.214210526,0.195,0.216470588,,,,
,slippery,0.1,0.19,0.08,0.15,0.24,0.1,0.16,0.13,0.12,0.11,0.13,0.26,0.01,0.26,0.2,0.16,0.31,0.26,1,0.34,0.174210526,0.34,0.165,,,,
,floor,0.22,0.5,0.18,0.12,0.08,0.06,0.09,0.11,0.18,0.08,0.12,0.36,0.03,0.16,0.08,0.11,0.19,0.13,0.34,1,0.165263158,,0.165263158,,,,
,,,,,,,,,,,,,,,,,,,,,,0.202736842,0.210903375,0.253524007,,,,
165,Document,table,desk,chair,clock,seat,books,work,paper,watch,people,building,school,principal,pencil,board,classroom,meeting,food,plate,bowl,,,,,,,0
,table,1,0.22,0.61,0.08,0.13,0.12,0.1,0.09,0.19,0.08,0.02,0.1,0.06,0.14,0.24,0.04,0.17,0.08,0.32,0.52,0.174210526,0.174210526,,0.211578947,0.185,0.15,
,desk,0.22,1,0.49,0.17,0.3,0.25,0.25,0.34,0.24,0.1,0.16,0.27,0.28,0.41,0.24,0.25,0.19,0.05,0.06,0.21,0.235789474,0.236666667,0.22,,,,
,chair,0.61,0.49,1,0.22,0.33,0.19,0.14,0.15,0.31,0.12,0.09,0.16,0.12,0.21,0.21,0.12,0.25,0.04,0.19,0.44,0.231052632,0.193529412,0.55,,,,
,clock,0.08,0.17,0.22,1,0.16,0.09,0.14,0.09,0.26,0.1,0.13,0.18,0.06,0.09,0.1,0.03,0.18,0.01,0.08,0.16,0.122631579,0.11625,0.156666667,,,,
,seat,0.13,0.3,0.33,0.16,1,0.08,0.12,0.07,0.31,0.12,0.1,0.19,0.15,0.09,0.22,0.11,0.19,0.04,0.06,0.19,0.155789474,0.136,0.23,,,,
,books,0.12,0.25,0.19,0.09,0.08,1,0.15,0.12,0.11,0.2,0.1,0.22,0.11,0.13,0.09,0.13,0.13,0.04,0.04,0.11,0.126842105,0.12,0.146,,,,
,work,0.1,0.25,0.14,0.14,0.12,0.15,1,0.14,0.26,0.4,0.24,0.23,0.15,0.2,0.19,0.12,0.22,0.18,0.02,0.09,0.175789474,0.187692308,0.15,,,,
,paper,0.09,0.34,0.15,0.09,0.07,0.12,0.14,1,0.14,0.12,0.06,0.11,0.09,0.68,0.19,0.1,0.05,0.05,0.18,0.11,0.151578947,0.156666667,0.142857143,,,,
,watch,0.19,0.24,0.31,0.26,0.31,0.11,0.26,0.14,1,0.28,0.2,0.2,0.05,0.2,0.21,0.06,0.12,0.11,0.08,0.19,0.185263158,0.154545455,0.2275,,,,
,people,0.08,0.1,0.12,0.1,0.12,0.2,0.4,0.12,0.28,1,0.26,0.19,0.13,0.08,0.12,0.08,0.29,0.29,0.04,0.09,0.162631579,0.157,0.168888889,,,,
,building,0.02,0.16,0.09,0.13,0.1,0.1,0.24,0.06,0.2,0.26,1,0.16,0.16,0.06,0.16,0.1,0.16,0.07,0.09,0.06,0.125263158,0.113333333,0.136,,,,
,school,0.1,0.27,0.16,0.18,0.19,0.22,0.23,0.11,0.2,0.19,0.16,1,0.4,0.12,0.23,0.36,0.21,0.06,0.03,0.09,0.184736842,0.1875,0.182727273,,,,
,principal,0.06,0.28,0.12,0.06,0.15,0.11,0.15,0.09,0.05,0.13,0.16,0.4,1,0.13,0.21,0.29,0.23,0.03,0.02,0.04,0.142631579,0.135714286,0.146666667,,,,
,pencil,0.14,0.41,0.21,0.09,0.09,0.13,0.2,0.68,0.2,0.08,0.06,0.12,0.13,1,0.32,0.12,0.05,0.03,0.09,0.11,0.171578947,0.12,0.195384615,,,,
,board,0.24,0.24,0.21,0.1,0.22,0.09,0.19,0.19,0.21,0.12,0.16,0.23,0.21,0.32,1,0.15,0.24,0.07,0.12,0.15,0.182105263,0.146,0.195,,,,
,classroom,0.04,0.25,0.12,0.03,0.11,0.13,0.12,0.1,0.06,0.08,0.1,0.36,0.29,0.12,0.15,1,0.15,0.04,-0.01,0.04,0.12,0.055,0.137333333,,,,
,meeting,0.17,0.19,0.25,0.18,0.19,0.13,0.22,0.05,0.12,0.29,0.16,0.21,0.23,0.05,0.24,0.15,1,0.08,0.08,0.18,0.166842105,0.113333333,0.176875,,,,
,food,0.08,0.05,0.04,0.01,0.04,0.04,0.18,0.05,0.11,0.29,0.07,0.06,0.03,0.03,0.07,0.04,0.08,1,0.1,0.15,0.08,0.125,0.074705882,,,,
,plate,0.32,0.06,0.19,0.08,0.06,0.04,0.02,0.18,0.08,0.04,0.09,0.03,0.02,0.09,0.12,-0.01,0.08,0.1,1,0.39,0.104210526,0.39,0.088333333,,,,
,bowl,0.52,0.21,0.44,0.16,0.19,0.11,0.09,0.11,0.19,0.09,0.06,0.09,0.04,0.11,0.15,0.04,0.18,0.15,0.39,1,0.174736842,,0.174736842,,,,
,,,,,,,,,,,,,,,,,,,,,,0.158684211,0.158865368,0.184718822,,,,
166,Document,table,legs,arms,fingers,spanish,white board,markers,games,family,food,guacamole,salsa,mango,bowls,cousins,glasses,hair,curls,humidity,walking,,,,,,,1
,table,1,0.1,0.12,0.21,0,0.23,0.18,0.07,0.12,0.08,N/A,0.25,0.1,0.3,0.16,0.3,0.04,0.03,0.04,0.06,0.132777778,0.132777778,,0.23,0.12875,0.090666667,
,legs,0.1,1,0.64,0.42,0.02,0.14,0.04,0.09,0.05,0.1,N/A,0.01,0,0.09,0.17,0.13,0.18,0.17,0.02,0.44,0.156111111,0.159411765,0.1,,,,
,arms,0.12,0.64,1,0.6,0.03,0.23,0.02,0.08,0.09,0.05,N/A,0.02,0.02,0.13,0.25,0.22,0.25,0.3,0.04,0.47,0.197777778,0.175,0.38,,,,
,fingers,0.21,0.42,0.6,1,0.01,0.22,0.09,0.1,0.1,0.09,N/A,0.04,0.08,0.25,0.2,0.34,0.34,0.35,0.05,0.31,0.211111111,0.171333333,0.41,,,,
,spanish,0,0.02,0.03,0.01,1,0.07,0.13,0,0.07,0.03,N/A,0.02,0,0.09,0.04,0.03,0.01,0,-0.01,0.02,0.031111111,0.035714286,0.015,,,,
,white board,0.23,0.14,0.23,0.22,0.07,1,0.24,0.09,0.11,0.09,N/A,0.05,0.04,0.22,0.19,0.21,0.13,0.12,0.06,0.24,0.148888889,0.137692308,0.178,,,,
,markers,0.18,0.04,0.02,0.09,0.13,0.24,1,0.21,0.01,0.05,N/A,-0.03,-0.1,0.09,0,0.02,-0.01,-0.02,0.05,0.13,0.061111111,0.033333333,0.116666667,,,,
,games,0.07,0.09,0.08,0.1,0,0.09,0.21,1,0.11,0.05,N/A,0,0.07,0.09,0.1,0.06,0.01,0.02,-0.02,0.13,0.07,0.056363636,0.091428571,,,,
,family,0.12,0.05,0.09,0.1,0.07,0.11,0.01,0.11,1,0.13,N/A,0.02,0.06,0.13,0.65,0.11,0.07,0.04,0,0.12,0.110555556,0.133,0.0825,,,,
,food,0.08,0.1,0.05,0.09,0.03,0.09,0.05,0.05,0.13,1,N/A,0.01,0.08,0.21,0.07,0.09,0.05,0.03,0.05,0.12,0.076666667,0.078888889,0.074444444,,,,
,guacamole,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,salsa,0.25,0.01,0.02,0.04,0.02,0.05,-0.03,0,0.02,0.01,N/A,1,0,0.12,0.08,0.13,-0.02,0,0.02,-0.04,0.037777778,0.03625,0.039,,,,
,mango,0.1,0,0.02,0.08,0,0.04,-0.1,0.07,0.06,0.08,N/A,0,1,0.23,0.08,0.08,0.01,0.03,-0.07,0.16,0.048333333,0.074285714,0.031818182,,,,
,bowls,0.3,0.09,0.13,0.25,0.09,0.22,0.09,0.09,0.13,0.21,N/A,0.12,0.23,1,0.26,0.25,0.07,0.07,0.04,0.06,0.15,0.125,0.1625,,,,
,cousins,0.16,0.17,0.25,0.2,0.04,0.19,0,0.1,0.65,0.07,N/A,0.08,0.08,0.26,1,0.15,0.08,0.1,0,0.11,0.149444444,0.088,0.173076923,,,,
,glasses,0.3,0.13,0.22,0.34,0.03,0.21,0.02,0.06,0.11,0.09,N/A,0.13,0.08,0.25,0.15,1,0.26,0.25,0.07,0.27,0.165,0.2125,0.151428571,,,,
,hair,0.04,0.18,0.25,0.34,0.01,0.13,-0.01,0.01,0.07,0.05,N/A,-0.02,0.01,0.07,0.08,0.26,1,0.79,0.05,0.15,0.136666667,0.33,0.098,,,,
,curls,0.03,0.17,0.3,0.35,0,0.12,-0.02,0.02,0.04,0.03,N/A,0,0.03,0.07,0.1,0.25,0.79,1,0.07,0.15,0.138888889,0.11,0.1425,,,,
,humidity,0.04,0.02,0.04,0.05,-0.01,0.06,0.05,-0.02,0,0.05,N/A,0.02,-0.07,0.04,0,0.07,0.05,0.07,1,0.04,0.027777778,0.04,0.027058824,,,,
